Fecha,Hora,Pasos
2025.04.17 14:35:00,14:35:00,26
2025.04.17 14:36:00,14:36:00,103
2025.04.17 14:37:00,14:37:00,26
2025.04.17 14:38:00,14:38:00,26
2025.04.17 14:39:00,14:39:00,25
2025.04.17 14:41:00,14:41:00,12
2025.04.17 14:44:00,14:44:00,19
2025.04.17 14:45:00,14:45:00,19
2025.04.17 14:46:00,14:46:00,19
2025.04.17 14:47:00,14:47:00,19
2025.04.17 14:48:00,14:48:00,44
2025.04.17 14:49:00,14:49:00,27
2025.04.17 14:50:00,14:50:00,42
2025.04.17 14:51:00,14:51:00,37
2025.04.17 14:52:00,14:52:00,59
2025.04.17 14:54:00,14:54:00,13
2025.04.17 15:22:00,15:22:00,7
2025.04.17 15:23:00,15:23:00,6
2025.04.17 15:24:00,15:24:00,6
2025.04.17 15:25:00,15:25:00,6
2025.04.17 15:26:00,15:26:00,6
2025.04.17 15:29:00,15:29:00,43
2025.04.17 15:39:00,15:39:00,20
2025.04.17 15:40:00,15:40:00,33
2025.04.17 15:41:00,15:41:00,20
2025.04.17 15:42:00,15:42:00,20
2025.04.17 15:43:00,15:43:00,20
2025.04.17 15:44:00,15:44:00,36
2025.04.17 15:45:00,15:45:00,14
2025.04.17 15:46:00,15:46:00,19
2025.04.17 15:47:00,15:47:00,19
2025.04.17 15:48:00,15:48:00,19
2025.04.17 15:49:00,15:49:00,101
2025.04.17 15:50:00,15:50:00,113
2025.04.17 15:51:00,15:51:00,111
2025.04.17 15:52:00,15:52:00,41
2025.04.17 15:53:00,15:53:00,70
2025.04.17 15:54:00,15:54:00,70
2025.04.17 15:55:00,15:55:00,46
2025.04.17 15:56:00,15:56:00,104
2025.04.17 15:57:00,15:57:00,17
2025.04.17 16:37:00,16:37:00,24
2025.04.17 16:38:00,16:38:00,21
2025.04.17 16:50:00,16:50:00,13
2025.04.17 16:52:00,16:52:00,18
2025.04.17 16:53:00,16:53:00,28
2025.04.17 16:54:00,16:54:00,17
2025.04.17 16:55:00,16:55:00,17
2025.04.17 16:57:00,16:57:00,20
2025.04.17 16:58:00,16:58:00,49
2025.04.17 18:04:00,18:04:00,17
2025.04.17 18:46:00,18:46:00,24
2025.04.17 18:47:00,18:47:00,17
2025.04.17 18:48:00,18:48:00,20
2025.04.17 20:04:00,20:04:00,9
2025.04.17 20:05:00,20:05:00,2
2025.04.17 20:06:00,20:06:00,34
2025.04.17 20:16:00,20:16:00,9
2025.04.17 20:46:00,20:46:00,25
2025.04.17 20:47:00,20:47:00,3
2025.04.17 21:09:00,21:09:00,77
2025.04.17 21:10:00,21:10:00,33
2025.04.17 21:51:00,21:51:00,27
2025.04.17 21:52:00,21:52:00,65
2025.04.17 21:58:00,21:58:00,14
2025.04.17 22:08:00,22:08:00,42
2025.04.17 22:09:00,22:09:00,20
2025.04.17 22:10:00,22:10:00,32
2025.04.18 00:15:00,00:15:00,37
2025.04.18 00:16:00,00:16:00,24
2025.04.18 00:28:00,00:28:00,21
2025.04.18 00:41:00,00:41:00,50
2025.04.18 00:42:00,00:42:00,11
2025.04.18 00:43:00,00:43:00,15
2025.04.18 00:44:00,00:44:00,10
2025.04.18 00:45:00,00:45:00,2
2025.04.18 00:47:00,00:47:00,25
2025.04.18 00:48:00,00:48:00,6
2025.04.18 00:50:00,00:50:00,8
2025.04.18 11:21:00,11:21:00,28
2025.04.18 11:50:00,11:50:00,23
2025.04.18 12:04:00,12:04:00,24
2025.04.18 12:05:00,12:05:00,24
2025.04.18 12:06:00,12:06:00,24
2025.04.18 12:07:00,12:07:00,24
2025.04.18 12:08:00,12:08:00,24
2025.04.18 12:09:00,12:09:00,24
2025.04.18 12:10:00,12:10:00,24
2025.04.18 12:11:00,12:11:00,24
2025.04.18 12:12:00,12:12:00,20
2025.04.18 12:14:00,12:14:00,57
2025.04.18 12:15:00,12:15:00,45
2025.04.18 12:16:00,12:16:00,9
2025.04.18 12:30:00,12:30:00,7
2025.04.18 12:32:00,12:32:00,28
2025.04.18 12:33:00,12:33:00,29
2025.04.18 12:34:00,12:34:00,4
2025.04.18 12:35:00,12:35:00,37
2025.04.18 12:36:00,12:36:00,33
2025.04.18 12:37:00,12:37:00,22
2025.04.18 12:42:00,12:42:00,11
2025.04.18 12:43:00,12:43:00,8
2025.04.18 12:44:00,12:44:00,25
2025.04.18 13:21:00,13:21:00,16
2025.04.18 13:35:00,13:35:00,13
2025.04.18 13:36:00,13:36:00,10
2025.04.18 13:37:00,13:37:00,6
2025.04.18 13:38:00,13:38:00,11
2025.04.18 13:58:00,13:58:00,9
2025.04.18 14:24:00,14:24:00,10
2025.04.18 14:25:00,14:25:00,3
2025.04.18 14:26:00,14:26:00,12
2025.04.18 14:27:00,14:27:00,4
2025.04.18 14:28:00,14:28:00,35
2025.04.18 14:29:00,14:29:00,10
2025.04.18 14:30:00,14:30:00,9
2025.04.18 14:31:00,14:31:00,9
2025.04.18 14:32:00,14:32:00,9
2025.04.18 14:34:00,14:34:00,17
2025.04.18 14:35:00,14:35:00,19
2025.04.18 14:48:00,14:48:00,6
2025.04.18 14:49:00,14:49:00,6
2025.04.18 14:50:00,14:50:00,6
2025.04.18 14:51:00,14:51:00,5
2025.04.18 16:18:00,16:18:00,8
2025.04.18 16:19:00,16:19:00,8
2025.04.18 16:20:00,16:20:00,15
2025.04.18 16:21:00,16:21:00,8
2025.04.18 16:33:00,16:33:00,43
2025.04.18 16:34:00,16:34:00,28
2025.04.18 16:35:00,16:35:00,43
2025.04.18 16:36:00,16:36:00,43
2025.04.18 16:37:00,16:37:00,42
2025.04.18 16:38:00,16:38:00,26
2025.04.18 16:39:00,16:39:00,85
2025.04.18 16:40:00,16:40:00,74
2025.04.18 16:41:00,16:41:00,27
2025.04.18 16:42:00,16:42:00,34
2025.04.18 16:43:00,16:43:00,93
2025.04.18 16:44:00,16:44:00,99
2025.04.18 16:45:00,16:45:00,97
2025.04.18 16:46:00,16:46:00,89
2025.04.18 16:47:00,16:47:00,93
2025.04.18 16:48:00,16:48:00,102
2025.04.18 16:49:00,16:49:00,100
2025.04.18 16:50:00,16:50:00,37
2025.04.18 16:51:00,16:51:00,14
2025.04.18 16:53:00,16:53:00,4
2025.04.18 16:59:00,16:59:00,85
2025.04.18 17:00:00,17:00:00,17
2025.04.18 17:01:00,17:01:00,85
2025.04.18 17:02:00,17:02:00,78
2025.04.18 17:03:00,17:03:00,90
2025.04.18 17:04:00,17:04:00,82
2025.04.18 17:05:00,17:05:00,78
2025.04.18 17:06:00,17:06:00,87
2025.04.18 17:07:00,17:07:00,90
2025.04.18 17:08:00,17:08:00,87
2025.04.18 17:09:00,17:09:00,91
2025.04.18 17:10:00,17:10:00,59
2025.04.18 17:11:00,17:11:00,78
2025.04.18 17:12:00,17:12:00,76
2025.04.18 18:15:00,18:15:00,17
2025.04.18 18:45:00,18:45:00,13
2025.04.18 18:46:00,18:46:00,49
2025.04.18 18:47:00,18:47:00,10
2025.04.18 18:52:00,18:52:00,22
2025.04.18 18:53:00,18:53:00,48
2025.04.18 18:54:00,18:54:00,15
2025.04.18 18:55:00,18:55:00,18
2025.04.18 18:57:00,18:57:00,8
2025.04.18 18:58:00,18:58:00,10
2025.04.18 19:46:00,19:46:00,22
2025.04.18 19:47:00,19:47:00,7
